Age, year;Males2012;Females2012;Males2013;Females2013;Males2014;Females2014;Males2015;Females2015;Males2016;Females2016;2Males2012;2Females2012;2Males2013;2Females2013;2Males2014;2Females2014;2Males2015;2Females2015;2Males2016;2Females2016;
0;100000;100000;100000;100000;100000;100000;100000;100000;100000;100000;64,56;75,86;65,13;76,30;65,29;76,47;65,92;76,71;66,50;77,06;
1;99051;99227;99095;99278;99186;99342;99274;99425;99339;99461;64,18;75,45;64,72;75,85;64,83;75,98;65,40;76,15;65,94;76,48;
2;98975;99156;99019;99218;99114;99280;99211;99372;99278;99410;63,23;74,50;63,77;74,90;63,87;75,03;64,44;75,19;64,98;75,51;
3;98923;99111;98973;99181;99070;99245;99168;99341;99239;99382;62,26;73,53;62,80;73,92;62,90;74,05;63,47;74,22;64,00;74,54;
4;98882;99077;98933;99150;99030;99214;99138;99314;99206;99358;61,29;72,56;61,82;72,95;61,93;73,08;62,49;73,24;63,03;73,55;
5;98841;99051;98903;99123;98994;99187;99109;99290;99180;99336;60,31;71,58;60,84;71,97;60,95;72,10;61,50;72,26;62,04;72,57;
10;98678;98942;98760;99022;98857;99092;98982;99201;99063;99249;55,41;66,65;55,93;67,04;56,03;67,16;56,58;67,32;57,11;67,63;
15;98500;98825;98583;98917;98676;98984;98823;99088;98902;99137;50,50;61,73;51,02;62,11;51,13;62,23;51,67;62,39;52,20;62,70;
20;97964;98579;98057;98696;98152;98749;98348;98873;98468;98934;45,76;56,88;46,28;57,24;46,39;57,37;46,90;57,52;47,42;57,83;
25;96824;98245;96968;98384;97086;98447;97424;98581;97620;98679;41,27;52,06;41,77;52,41;41,87;52,54;42,32;52,68;42,81;52,97;
30;94987;97697;95219;97851;95386;97929;95936;98115;96305;98242;37,01;47,34;37,49;47,68;37,57;47,81;37,94;47,92;38,35;48,19;
35;92110;96813;92436;96959;92678;97067;93517;97287;94121;97479;33,09;42,75;33,54;43,10;33,59;43,21;33,85;43,31;34,18;43,55;
40;88718;95694;89023;95854;89140;95917;90145;96133;90934;96378;29,26;38,22;29,73;38,56;29,82;38,69;30,02;38,80;30,29;39,02;
45;84985;94327;85326;94493;85349;94542;86355;94729;87215;95018;25,43;33,73;25,90;34,08;26,03;34,22;26,22;34,33;26,47;34,54;
50;80189;92543;80693;92757;80722;92786;81790;92988;82815;93315;21,80;29,33;22,24;29,67;22,38;29,82;22,54;29,93;22,74;30,12;
55;73940;90117;74678;90439;74794;90449;75914;90700;77005;91079;18,42;25,05;18,82;25,36;18,94;25,52;19,09;25,62;19,25;25,80;
60;65764;86553;66824;87027;66950;87058;68171;87400;69381;87862;15,38;20,97;15,73;21,26;15,86;21,41;15,96;21,48;16,08;21,64;
65;55529;81557;56717;82161;57009;82304;58144;82700;59309;83277;12,76;17,10;13,08;17,36;13,18;17,50;13,27;17,55;13,38;17,69;
70;44769;74694;45948;75386;46219;75584;47113;75987;47942;76516;10,23;13,43;10,55;13,68;10,68;13,82;10,79;13,87;10,94;14,01;
75;32537;64453;33933;65509;34491;66042;35376;66474;36242;67061;8,14;10,15;8,37;10,33;8,44;10,43;8,52;10,48;8,64;10,61;
80;20773;49598;22055;51099;22491;51670;23161;52249;23906;53118;6,37;7,41;6,55;7,50;6,64;7,60;6,71;7,61;6,82;7,69;
85 and over;10763;31103;11727;32510;12201;33275;12690;33716;13186;34542;5,07;5,30;5,20;5,33;5,21;5,37;5,27;5,37;5,39;5,44;
